event	left_node	right_node	left_date	right_date	midpoint_date	left_date_lower	left_date_upper	right_date_lower	right_date_upper	midpoint_date_all
spe	645	644	1840.255	1647.11	1743.6825	2005.54	1674.97	1863.23	1430.99	1718.265
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	498	GCA.002731375.1.Bacteria.Proteobacteria	1261.48	0.0	630.74	1455.41	1067.55	0.0	0.0	727.705
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	644	643	1647.11	1467.95	1557.53	1863.23	1430.99	1701.45	1234.45	1548.84
los	643	639	1467.95	1269.845	1368.8975	1701.45	1234.45	1517.47	1022.22	1361.835
spe	643	642	1467.95	1332.36	1400.155	1701.45	1234.45	1580.86	1083.86	1392.655
hgt	639	GCA.003230085.1.Bacteria.Proteobacteria	1269.845	0.0	634.9225	1517.47	1022.22	0.0	0.0	758.735
spe	644	636	1647.11	1555.685	1601.3975	1863.23	1430.99	1786.38	1324.99	1594.11
hgt	529	GCA.002451085.1.Bacteria.Proteobacteria	1606.235	0.0	803.1175	2001.73	1210.74	0.0	0.0	1000.865
hgt	571	570	1706.635	1535.435	1621.035	1950.26	1463.01	1809.94	1260.93	1605.595
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	481	469	1674.98	1543.27	1609.125	1835.32	1514.64	1718.34	1368.2	1601.76
hgt	458	GCA.002340345.1.Bacteria.Proteobacteria	1624.365	0.0	812.1825	1810.7	1438.03	0.0	0.0	905.35
hgt	495	GCF.003173035.1.Bacteria.Proteobacteria	1237.1635	0.0	618.58175	1474.36	999.967	0.0	0.0	737.18
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	481	469	1674.98	1543.27	1609.125	1835.32	1514.64	1718.34	1368.2	1601.76
spe	469	463	1543.27	1394.155	1468.7125	1718.34	1368.2	1606.24	1182.07	1450.205
spe	463	462	1394.155	1117.2015	1255.67825	1606.24	1182.07	1403.11	831.293	1218.7665
los	462	GCF.000315795.1.Bacteria.Proteobacteria	1117.2015	0.0	558.60075	1403.11	831.293	0.0	0.0	701.555
hgt	462	GCF.000315795.1.Bacteria.Proteobacteria	1117.2015	0.0	558.60075	1403.11	831.293	0.0	0.0	701.555
hgt	439	GCF.001613805.1.Bacteria.Proteobacteria	1422.265	0.0	711.1325	1693.15	1151.38	0.0	0.0	846.575
spe	469	468	1543.27	1359.195	1451.2325	1718.34	1368.2	1556.34	1162.05	1440.195
spe	468	467	1359.195	1181.4985	1270.34675	1556.34	1162.05	1405.48	957.517	1256.9285
hgt	506	GCA.001464215.1.Bacteria.Proteobacteria	1217.64	0.0	608.82	1393.38	1041.9	0.0	0.0	696.69
los	467	GCA.002291925.1.Bacteria.Proteobacteria	1181.4985	0.0	590.74925	1405.48	957.517	0.0	0.0	702.74
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	636	634	1555.685	1386.92	1471.3025	1786.38	1324.99	1651.6	1122.24	1454.31
los	634	GCF.002020875.1.Bacteria.Proteobacteria	1386.92	0.0	693.46	1651.6	1122.24	0.0	0.0	825.8
hgt	614	613	1511.555	1391.71	1451.6325	1698.12	1324.99	1592.53	1190.89	1444.505
hgt	536	GCF.900111015.1.Bacteria.Proteobacteria	1675.53	0.0	837.765	2101.36	1249.7	0.0	0.0	1050.68
hgt	503	GCA.002280485.1.Bacteria.Proteobacteria	1116.0495	0.0	558.02475	1312.6	919.499	0.0	0.0	656.3
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	614	613	1511.555	1391.71	1451.6325	1698.12	1324.99	1592.53	1190.89	1444.505
spe	613	612	1391.71	1256.25	1323.98	1592.53	1190.89	1460.33	1052.17	1322.35
spe	612	611	1256.25	936.1675	1096.20875	1460.33	1052.17	1239.98	632.355	1046.3425
hgt	553	GCF.001641825.1.Bacteria.Proteobacteria	1596.945	0.0	798.4725	1821.5	1372.39	0.0	0.0	910.75
spe	571	570	1706.635	1535.435	1621.035	1950.26	1463.01	1809.94	1260.93	1605.595
spe	570	568	1535.435	1379.435	1457.435	1809.94	1260.93	1661.92	1096.95	1453.445
hgt	542	GCA.002352565.1.Bacteria.Proteobacteria	1583.705	0.0	791.8525	1912.35	1255.06	0.0	0.0	956.175
los	568	GCF.001051235.1.Bacteria.Proteobacteria	1379.435	0.0	689.7175	1661.92	1096.95	0.0	0.0	830.96
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	603	GCA.002085445.1.Bacteria.Proteobacteria	1696.92	0.0	848.46	1869.02	1524.82	0.0	0.0	934.51
hgt	592	GCF.001720165.1.Bacteria.Proteobacteria	1273.215	0.0	636.6075	1530.36	1016.07	0.0	0.0	765.18
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	574	GCF.000374645.1.Bacteria.Proteobacteria	1330.6	0.0	665.3	1590.49	1070.71	0.0	0.0	795.245
