event	left_node	right_node	left_date	right_date	midpoint_date	left_date_lower	left_date_upper	right_date_lower	right_date_upper	midpoint_date_all
spe	649	648	2098.245	2024.465	2061.355	2237.54	1958.95	2163.47	1885.46	2061.5
spe	648	562	2024.465	1860.4	1942.4325	2163.47	1885.46	2005.59	1715.21	1939.34
los	562	561	1860.4	1784.925	1822.6625	2005.59	1715.21	1932.49	1637.36	1821.475
spe	562	546	1860.4	1496.095	1678.2475	2005.59	1715.21	1672.06	1320.13	1662.86
los	546	GCA.002747435.1.Bacteria.Proteobacteria	1496.095	0.0	748.0475	1672.06	1320.13	0.0	0.0	836.03
spe	648	647	2024.465	1945.285	1984.875	2163.47	1885.46	2083.18	1807.39	1985.43
spe	647	571	1945.285	1781.46	1863.3725	2083.18	1807.39	1928.85	1634.07	1858.625
spe	571	570	1781.46	1624.36	1702.91	1928.85	1634.07	1779.57	1469.15	1699.0
hgt	529	GCA.002451085.1.Bacteria.Proteobacteria	1818.925	0.0	909.4625	2012.28	1625.57	0.0	0.0	1006.14
los	570	568	1624.36	1463.05	1543.705	1779.57	1469.15	1635.35	1290.75	1535.16
hgt	560	GCA.001735895.1.Bacteria.Proteobacteria	1588.3	0.0	794.15	1745.96	1430.64	0.0	0.0	872.98
spe	571	565	1781.46	1495.725	1638.5925	1928.85	1634.07	1673.32	1318.13	1623.49
hgt	519	GCF.002109495.1.Bacteria.Proteobacteria	2628.48	0.0	1314.24	2774.64	2482.32	0.0	0.0	1387.32
los	565	GCF.000239355.1.Bacteria.Proteobacteria	1495.725	0.0	747.8625	1673.32	1318.13	0.0	0.0	836.66
spe	647	646	1945.285	1897.835	1921.56	2083.18	1807.39	2035.74	1759.93	1921.555
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	603	GCA.002085445.1.Bacteria.Proteobacteria	1669.485	0.0	834.7425	1811.47	1527.5	0.0	0.0	905.735
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	1228	GCA.003023725.1.Bacteria.Firmicutes.E	2207.365	0.0	1103.6825	2441.9	1972.83	0.0	0.0	1220.95
hgt	386	GCA.002450905.1.Bacteria.Spirochaetota	2009.02	0.0	1004.51	2288.32	1729.72	0.0	0.0	1144.16
hgt	406	GCA.001872725.1.Bacteria.Proteobacteria	2569.1	0.0	1284.55	2747.05	2391.15	0.0	0.0	1373.525
spe	646	588	1897.835	1783.48	1840.6575	2035.74	1759.93	1926.18	1640.78	1838.26
spe	588	576	1783.48	1633.525	1708.5025	1926.18	1640.78	1787.8	1479.25	1702.715
hgt	558	GCA.002386945.1.Bacteria.Proteobacteria	1422.015	0.0	711.0075	1589.43	1254.6	0.0	0.0	794.715
los	576	GCA.002432655.1.Bacteria.Proteobacteria	1633.525	0.0	816.7625	1787.8	1479.25	0.0	0.0	893.9
spe	576	574	1633.525	1374.275	1503.9	1787.8	1479.25	1546.58	1201.97	1494.885
hgt	653	GCF.001399755.1.Bacteria.Proteobacteria	2568.17	0.0	1284.085	2711.59	2424.75	0.0	0.0	1355.795
los	574	GCF.000374645.1.Bacteria.Proteobacteria	1374.275	0.0	687.1375	1546.58	1201.97	0.0	0.0	773.29
hgt	513	512	1786.09	1671.055	1728.5725	1924.53	1647.65	1813.33	1528.78	1726.655
spe	588	587	1783.48	1406.63	1595.055	1926.18	1640.78	1560.81	1252.45	1589.315
spe	587	586	1406.63	1290.345	1348.4875	1560.81	1252.45	1452.62	1128.07	1344.44
los	586	585	1290.345	1098.223	1194.284	1452.62	1128.07	1267.88	928.566	1190.593
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	444	GCA.002348425.1.Bacteria.Proteobacteria	1089.937	0.0	544.9685	1263.85	916.024	0.0	0.0	631.925
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	458	456	1513.53	1329.135	1421.3325	1663.43	1363.63	1490.23	1168.04	1415.735
los	587	581	1406.63	1247.6	1327.115	1560.81	1252.45	1410.64	1084.56	1322.685
spe	458	456	1513.53	1329.135	1421.3325	1663.43	1363.63	1490.23	1168.04	1415.735
