event	left_node	right_node	left_date	right_date	midpoint_date	left_date_lower	left_date_upper	right_date_lower	right_date_upper	midpoint_date_all
spe	1725	1724	3734.58	3628.125	3681.3525	3857.32	3611.84	3750.92	3505.33	3681.325
spe	1724	1723	3628.125	3473.32	3550.7225	3750.92	3505.33	3598.84	3347.8	3549.36
los	1723	1657	3473.32	3302.405	3387.8625	3598.84	3347.8	3453.53	3151.28	3375.06
spe	1723	1722	3473.32	3258.43	3365.875	3598.84	3347.8	3379.98	3136.88	3367.86
spe	1722	1664	3258.43	2797.97	3028.2	3379.98	3136.88	2989.79	2606.15	2993.065
spe	1664	1663	2797.97	2468.245	2633.1075	2989.79	2606.15	2741.36	2195.13	2592.46
los	1663	GCA.001784555.1.Bacteria.Cyanobacteria	2468.245	0.0	1234.1225	2741.36	2195.13	0.0	0.0	1370.68
spe	1664	1660	2797.97	2420.975	2609.4725	2989.79	2606.15	2692.99	2148.96	2569.375
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	168	167	1286.485	1104.9615	1195.72325	1385.26	1187.71	1223.63	986.293	1185.7765
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	168	167	1286.485	1104.9615	1195.72325	1385.26	1187.71	1223.63	986.293	1185.7765
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	170	GCA.000189635.1.Eukaryota.Ciliophora	1517.8	0.0	758.9	1638.53	1397.07	0.0	0.0	819.265
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	167	166	1104.9615	870.936	987.94875	1223.63	986.293	1015.32	726.552	975.091
spe	166	165	870.936	603.2	737.068	1015.32	726.552	760.935	445.465	730.3925
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
los	1660	GCA.900313115.1.Bacteria.Cyanobacteria	2420.975	0.0	1210.4875	2692.99	2148.96	0.0	0.0	1346.495
dup	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	930	GCA.002449765.1.Bacteria.Fibrobacterota	1430.65	0.0	715.325	1712.47	1148.83	0.0	0.0	856.235
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	967	966	1840.425	1461.28	1650.8525	2031.87	1648.98	1661.11	1261.45	1646.66
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	967	966	1840.425	1461.28	1650.8525	2031.87	1648.98	1661.11	1261.45	1646.66
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	961	GCA.001769385.1.Bacteria.Bacteroidota	672.025	0.0	336.0125	829.441	514.609	0.0	0.0	414.7205
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	775	GCA.001797335.1.Bacteria.Bdellovibrionota.E	1870.575	0.0	935.2875	2071.84	1669.31	0.0	0.0	1035.92
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	966	965	1461.28	1235.75	1348.515	1661.11	1261.45	1425.34	1046.16	1353.635
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
los	965	964	1235.75	1085.5365	1160.64325	1425.34	1046.16	1271.22	899.853	1162.5965
hgt	767	GCA.002796325.1.Bacteria.UBA10199	1602.15	0.0	801.075	1809.98	1394.32	0.0	0.0	904.99
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	965	955	1235.75	1094.6025	1165.17625	1425.34	1046.16	1285.5	903.705	1164.5225
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
los	955	GCA.001769655.1.Bacteria.Bacteroidota	1094.6025	0.0	547.30125	1285.5	903.705	0.0	0.0	642.75
dup	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	288	GCA.002382525.1.Bacteria.Verrucomicrobiota	1656.495	0.0	828.2475	1919.97	1393.02	0.0	0.0	959.985
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	293	GCA.002429065.1.Bacteria.Verrucomicrobiota	1839.63	0.0	919.815	2093.59	1585.67	0.0	0.0	1046.795
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dup	293	GCA.002429065.1.Bacteria.Verrucomicrobiota	1839.63	0.0	919.815	2093.59	1585.67	0.0	0.0	1046.795
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	1169	1168	2396.405	2301.295	2348.85	2605.17	2187.64	2515.41	2087.18	2346.175
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	1169	1168	2396.405	2301.295	2348.85	2605.17	2187.64	2515.41	2087.18	2346.175
spe	1168	1148	2301.295	1851.865	2076.58	2515.41	2087.18	2104.07	1599.66	2057.535
los	1148	GCA.003021615.1.Bacteria.Actinobacteriota	1851.865	0.0	925.9325	2104.07	1599.66	0.0	0.0	1052.035
spe	1168	1167	2301.295	2105.28	2203.2875	2515.41	2087.18	2330.25	1880.31	2197.86
los	1167	GCA.002413185.1.Bacteria.Actinobacteriota	2105.28	0.0	1052.64	2330.25	1880.31	0.0	0.0	1165.125
spe	1167	1166	2105.28	1472.335	1788.8075	2330.25	1880.31	1697.69	1246.98	1788.615
spe	1166	1165	1472.335	1325.685	1399.01	1697.69	1246.98	1549.4	1101.97	1399.83
spe	1165	1164	1325.685	1172.8835	1249.28425	1549.4	1101.97	1391.91	953.857	1251.6285
spe	1164	1163	1172.8835	995.9815	1084.4325	1391.91	953.857	1205.77	786.193	1089.0515
los	1163	GCA.001437855.1.Bacteria.Actinobacteriota	995.9815	0.0	497.99075	1205.77	786.193	0.0	0.0	602.885
spe	1164	1160	1172.8835	1016.58	1094.73175	1391.91	953.857	1228.58	804.58	1098.245
los	1160	GCF.000015025.1.Bacteria.Actinobacteriota	1016.58	0.0	508.29	1228.58	804.58	0.0	0.0	614.29
spe	1160	1158	1016.58	905.248	960.914	1228.58	804.58	1113.91	696.586	962.583
spe	1165	1155	1325.685	1195.766	1260.7255	1549.4	1101.97	1415.51	976.022	1262.711
spe	1155	1154	1195.766	907.0585	1051.41225	1415.51	976.022	1120.3	693.817	1054.6635
los	1154	GCF.001591405.1.Bacteria.Actinobacteria	907.0585	0.0	453.52925	1120.3	693.817	0.0	0.0	560.15
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	1160	GCF.000015025.1.Bacteria.Actinobacteriota	1016.58	0.0	508.29	1228.58	804.58	0.0	0.0	614.29
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	1722	1721	3258.43	3170.865	3214.6475	3379.98	3136.88	3292.74	3048.99	3214.485
los	1721	1667	3170.865	2879.985	3025.425	3292.74	3048.99	3035.21	2724.76	3008.75
spe	1721	1720	3170.865	2606.555	2888.71	3292.74	3048.99	2696.39	2516.72	2904.73
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	1720	1719	2606.555	2498.57	2552.5625	2696.39	2516.72	2595.21	2401.93	2549.16
spe	1719	1718	2498.57	2360.855	2429.7125	2595.21	2401.93	2455.4	2266.31	2430.76
spe	1718	1717	2360.855	2145.98	2253.4175	2455.4	2266.31	2280.59	2011.37	2233.385
los	1717	1716	2145.98	1755.0	1950.49	2280.59	2011.37	1914.22	1595.78	1938.185
spe	1718	1704	2360.855	2247.23	2304.0425	2455.4	2266.31	2338.81	2155.65	2305.525
los	1704	1672	2247.23	2002.185	2124.7075	2338.81	2155.65	2153.78	1850.59	2094.7
spe	1704	1703	2247.23	2155.655	2201.4425	2338.81	2155.65	2243.27	2068.04	2203.425
spe	1703	1679	2155.655	1829.33	1992.4925	2243.27	2068.04	1977.8	1680.86	1962.065
spe	1679	1678	1829.33	892.4805	1360.90525	1977.8	1680.86	1125.82	659.141	1318.4705
los	1678	1676	892.4805	250.8965	571.6885	1125.82	659.141	362.735	139.058	632.439
spe	1703	1702	2155.655	2083.6	2119.6275	2243.27	2068.04	2167.45	1999.75	2121.51
spe	1702	1701	2083.6	2042.11	2062.855	2167.45	1999.75	2121.49	1962.73	2065.09
los	1701	1700	2042.11	1961.585	2001.8475	2121.49	1962.73	2035.9	1887.27	2004.38
spe	1701	1685	2042.11	1873.315	1957.7125	2121.49	1962.73	1989.89	1756.74	1939.115
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	1698	1697	1614.145	1294.515	1454.33	1628.1	1600.19	1416.54	1172.49	1400.295
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	1698	1697	1614.145	1294.515	1454.33	1628.1	1600.19	1416.54	1172.49	1400.295
spe	1697	1695	1294.515	878.0175	1086.26625	1416.54	1172.49	1068.32	687.715	1052.1275
los	1695	Nostoc.sp.PCC7120	878.0175	0.0	439.00875	1068.32	687.715	0.0	0.0	534.16
spe	1685	1684	1873.315	1661.66	1767.4875	1989.89	1756.74	1813.5	1509.82	1749.855
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	1699	GCF.000317045.1.Bacteria.Cyanobacteria	1903.88	0.0	951.94	1972.93	1834.83	0.0	0.0	986.465
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	1700	1688	1961.585	1636.375	1798.98	2035.9	1887.27	1774.1	1498.65	1767.275
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	1700	1688	1961.585	1636.375	1798.98	2035.9	1887.27	1774.1	1498.65	1767.275
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	1672	GCF.002251945.1.Bacteria.Cyanobacteria	2002.185	0.0	1001.0925	2153.78	1850.59	0.0	0.0	1076.89
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dup	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	816	GCA.002707085.1.Bacteria.Myxococcota.A	1355.92	0.0	677.96	1564.17	1147.67	0.0	0.0	782.085
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
